age,c_charge_degree,race,sex,priors_count,days_b_screening_arrest,label,jailtime
24,0,0,0,0,-1.0,1,2
29,1,1,0,10,-1.0,0,7
44,0,1,1,2,0.0,0,-1
30,1,0,0,4,-35.0,0,0
32,1,0,1,3,-1.0,0,8
31,0,1,1,2,-16.0,0,15
31,0,0,1,1,-1.0,1,1
59,1,1,1,1,-1.0,0,0
20,1,0,0,1,0.0,1,2
43,0,1,0,0,0.0,1,0
38,1,0,1,9,-1.0,0,13
32,1,0,1,11,-2.0,0,1
33,0,0,1,8,-1.0,0,0
31,1,0,0,0,-1.0,0,1
33,1,0,0,7,-1.0,0,26
27,1,0,1,2,-1.0,0,1
20,1,0,0,0,0.0,1,0
26,0,1,0,0,-2.0,1,0
61,1,0,0,1,-1.0,0,0
52,1,0,1,13,-1.0,0,1
63,1,0,1,1,-26.0,1,14
32,1,0,0,4,-7.0,0,6
29,1,0,1,1,-1.0,1,0
26,0,0,0,2,-1.0,0,0
55,0,0,1,3,-51.0,1,1
39,0,1,1,1,-1.0,1,3
30,1,1,0,3,0.0,0,530
30,1,0,1,1,0.0,1,70
48,0,1,1,2,-1.0,1,0
22,1,0,1,1,-1.0,1,0
46,1,1,1,6,22.0,0,22
49,1,1,0,6,-56.0,1,5
31,1,1,1,0,0.0,1,2
25,0,0,1,1,-1.0,0,1
23,1,0,1,0,-1.0,1,0
32,1,0,0,5,-1.0,1,1
52,0,0,1,2,-1.0,1,3
62,1,0,1,8,0.0,1,15
37,1,1,0,6,-110.0,1,105
55,1,1,1,1,-45.0,1,18
31,1,0,1,8,29.0,0,117
28,0,0,1,6,-1.0,0,0
54,1,0,1,2,-1.0,1,188
58,1,0,1,0,-1.0,1,0
78,0,1,1,1,-1.0,0,0
56,1,1,1,0,-1.0,1,1
24,1,0,1,0,-1.0,1,1
38,1,0,1,22,-34.0,0,33
22,1,0,1,1,0.0,0,0
47,0,0,1,23,-1.0,0,0
23,0,0,1,0,-1.0,0,1
57,1,0,1,1,0.0,1,19
38,1,1,0,2,-35.0,0,0
66,1,0,1,3,-10.0,1,2
45,0,1,1,8,0.0,0,71
32,1,0,1,13,289.0,0,97
37,0,0,1,2,0.0,0,0
39,1,1,1,0,0.0,0,0
26,1,0,1,9,0.0,0,79
45,1,1,1,2,-1.0,1,358
23,1,0,1,0,-1.0,0,0
34,0,0,1,2,0.0,1,25
23,0,0,0,1,-1.0,1,0
36,0,0,1,2,-1.0,0,2
50,1,1,1,1,-4.0,1,1
37,0,1,0,0,-1.0,1,0
44,0,1,1,4,0.0,1,1
35,1,0,0,23,-1.0,0,2
24,1,0,1,5,-1.0,0,0
26,1,0,1,2,-1.0,0,1
27,0,0,1,0,-1.0,1,2
28,1,0,0,0,0.0,1,29
43,1,1,1,11,49.0,0,121
28,1,1,0,7,-1.0,0,1
38,1,0,1,2,-1.0,1,1
27,0,1,1,2,-36.0,1,36
28,1,0,0,1,-1.0,1,38
56,1,1,1,7,-1.0,0,0
38,1,0,1,15,-1.0,1,1
28,0,0,1,2,-1.0,1,0
45,1,0,1,3,104.0,1,218
61,1,1,1,1,-34.0,1,0
51,0,1,0,0,-1.0,0,0
51,0,1,1,0,-1.0,1,0
36,0,0,1,1,-1.0,0,1
48,1,0,1,0,-1.0,1,1
37,1,1,1,4,0.0,0,1
30,1,0,0,2,-1.0,1,2
41,0,0,0,5,0.0,1,0
27,1,0,1,11,-1.0,0,223
37,0,0,1,0,-1.0,1,1
33,1,0,1,4,0.0,0,2
54,1,0,1,11,-1.0,1,129
23,1,0,1,2,-1.0,1,71
26,1,0,0,2,-227.0,0,226
41,0,0,1,0,0.0,1,0
52,1,1,1,0,-1.0,1,0
43,1,1,1,13,0.0,0,51
52,1,0,1,0,-1.0,1,13
28,1,1,1,1,-3.0,1,3
30,0,0,1,11,-1.0,0,1
28,1,1,1,1,0.0,1,6
22,1,0,1,0,-1.0,1,0
30,1,0,1,4,0.0,1,-1
25,1,0,1,4,0.0,1,1
31,1,1,1,0,-1.0,0,30
37,1,1,1,0,-1.0,0,35
32,1,0,1,14,-1.0,1,1
26,0,0,1,4,649.0,1,75
53,0,1,1,1,-1.0,1,1
28,1,0,1,25,29.0,0,25
44,0,1,1,8,-1.0,0,4
25,1,0,1,0,0.0,1,0
22,0,1,1,1,0.0,0,5
37,0,0,0,0,-1.0,1,1
40,1,0,0,3,-1.0,1,1
36,1,1,1,8,150.0,0,22
30,1,1,1,4,-140.0,1,62
22,0,0,1,3,161.0,0,0
24,0,1,0,1,-32.0,0,29
27,0,0,1,3,-44.0,0,6
31,0,0,0,0,-1.0,1,0
23,1,0,1,1,-1.0,0,1
23,1,1,0,5,-1.0,0,0
24,0,0,1,0,-3.0,1,0
29,0,0,1,1,-1.0,1,0
20,1,0,1,1,-1.0,0,1
30,1,0,1,2,-1.0,0,1
39,1,0,1,0,-1.0,1,0
27,1,0,1,4,-1.0,1,0
31,0,1,1,2,812.0,1,10
37,1,0,0,2,0.0,1,0
20,1,0,1,0,-1.0,1,2
22,1,0,1,0,0.0,1,2
52,1,0,0,0,-1.0,1,0
23,1,0,0,0,-1.0,0,3
48,1,0,0,0,-1.0,1,1
25,1,1,1,0,0.0,1,0
27,1,1,1,0,-1.0,0,1
30,1,0,1,11,0.0,0,1
22,0,0,1,3,-1.0,0,1
22,1,1,0,1,-1.0,1,0
32,1,1,1,2,-232.0,1,40
41,0,0,0,2,-1.0,1,0
25,1,0,0,0,-1.0,1,0
44,0,0,1,24,53.0,1,117
52,1,0,1,3,0.0,0,24
43,1,0,1,0,-1.0,1,41
37,1,1,1,3,-4.0,1,2
28,0,0,1,3,299.0,0,2
70,0,1,1,1,-13.0,1,12
54,1,1,1,6,-266.0,0,0
46,1,1,1,3,-1.0,1,14
21,0,0,1,0,-1.0,0,1
26,0,0,1,1,-1.0,0,1
38,1,0,1,3,23.0,0,1
34,0,1,1,5,-1.0,1,1
19,1,0,1,1,-48.0,0,48
34,0,0,1,5,-1.0,1,0
23,1,1,1,0,0.0,0,0
34,1,0,1,5,-1.0,0,2
30,1,0,1,2,-83.0,1,83
39,1,0,1,6,-1.0,0,2
24,1,0,1,0,-1.0,1,1
33,0,1,1,1,-93.0,0,0
58,1,1,1,2,-1.0,1,1
21,0,0,0,0,0.0,1,0
21,1,0,1,1,-36.0,1,36
23,0,0,1,4,-11.0,0,11
62,1,1,1,0,0.0,1,1
27,0,0,1,4,300.0,0,0
37,1,1,1,5,-1.0,1,10
43,1,0,1,2,-1.0,0,7
32,1,0,0,5,0.0,1,-1
23,1,0,1,0,-1.0,1,45
27,0,0,1,0,0.0,1,0
44,0,1,1,0,-1.0,0,1
28,0,1,1,3,-1.0,0,0
42,1,1,0,0,-3.0,1,1
24,1,0,1,9,-1.0,0,4
27,1,0,1,0,0.0,1,17
20,1,0,1,0,-1.0,0,0
51,0,1,0,0,0.0,1,1
56,0,1,1,0,0.0,1,1
29,1,0,1,7,-1.0,1,1
20,1,0,1,0,-1.0,0,209
53,1,1,1,6,-176.0,1,174
27,1,1,1,8,-1.0,1,68
24,1,0,1,2,-1.0,0,19
53,1,1,1,36,-7.0,0,32
28,0,1,1,2,0.0,0,1
21,1,0,1,3,-22.0,1,22
36,1,0,0,0,-1.0,1,12
25,0,1,0,2,-2.0,0,1
23,0,0,0,1,0.0,1,0
28,1,1,1,1,-4.0,1,1
21,1,0,0,0,-1.0,0,1
36,0,1,1,0,-1.0,1,0
24,1,0,1,0,-1.0,1,0
28,1,0,1,3,206.0,0,32
30,1,0,1,1,-1.0,0,0
29,1,0,1,0,-1.0,1,1
30,0,1,0,0,0.0,1,3
51,0,0,1,1,-1.0,1,1
33,1,0,1,3,-94.0,1,3
25,1,0,0,2,-86.0,1,1
32,1,0,1,12,-1.0,0,1
23,1,0,1,1,0.0,1,1
47,1,0,1,3,0.0,1,0
32,1,0,0,1,-80.0,0,2
37,1,1,1,0,-1.0,1,19
19,1,0,1,2,-1.0,0,1
27,0,0,1,0,-1.0,1,2
39,0,0,1,0,-1.0,1,0
21,1,1,0,0,0.0,1,0
69,0,1,1,0,-1.0,1,0
21,1,1,1,2,-1.0,1,2
26,0,0,1,6,0.0,0,3
22,1,1,1,0,-2.0,1,0
23,1,0,0,0,-1.0,0,0
49,1,0,1,3,0.0,1,3
29,0,0,1,2,-1.0,1,50
60,0,1,0,0,-1.0,1,0
23,1,0,1,3,0.0,0,0
34,0,0,1,2,47.0,0,207
20,1,0,0,1,-21.0,1,2
36,1,0,1,1,0.0,1,95
30,1,1,1,0,0.0,1,1
21,1,0,1,1,-1.0,1,-1
22,0,1,1,2,-1.0,0,0
21,1,0,1,4,-1.0,0,219
21,1,0,1,0,-1.0,0,12
34,0,1,1,1,0.0,1,0
50,0,1,0,1,-1.0,0,0
40,1,1,1,0,-1.0,0,8
25,1,0,1,7,-1.0,0,127
53,0,1,0,1,-1.0,1,0
24,1,0,0,0,-1.0,1,1
42,1,0,1,1,-12.0,1,4
28,0,0,1,1,-1.0,1,1
24,0,1,1,1,-36.0,1,36
26,1,0,1,6,-1.0,0,1
22,1,0,1,4,-1.0,0,260
21,0,1,1,3,-8.0,1,5
37,1,0,1,23,-1.0,0,17
35,1,0,1,2,-1.0,1,5
53,1,0,1,2,-1.0,1,0
29,1,0,1,7,-1.0,1,1
48,1,1,1,23,-1.0,0,360
52,0,1,0,0,0.0,1,0
27,1,0,1,12,-1.0,0,31
28,1,0,1,5,0.0,1,51
33,0,1,1,3,0.0,1,0
28,1,0,0,0,-1.0,1,2
47,1,1,1,5,-312.0,0,291
36,1,0,1,14,-1.0,0,0
29,1,0,1,2,-1.0,1,1
22,0,0,1,0,0.0,0,21
26,1,0,1,6,-34.0,1,0
25,1,1,1,0,0.0,1,0
68,1,1,1,2,-150.0,1,0
56,1,0,1,5,-1.0,1,12
27,1,0,1,9,-1.0,0,52
52,1,1,1,4,-1.0,0,7
32,1,0,1,3,0.0,1,1
60,1,0,1,4,-1.0,1,1
23,0,0,1,1,-5.0,1,5
39,0,1,0,0,-2.0,1,0
56,0,1,1,0,-1.0,1,0
22,1,0,0,0,0.0,1,0
27,1,0,0,1,-31.0,0,0
53,1,0,1,11,-1.0,1,110
25,0,1,1,0,0.0,0,0
21,0,0,1,0,0.0,1,0
22,1,1,1,0,-1.0,1,1
58,0,1,0,2,-23.0,1,1
31,0,0,1,7,0.0,0,1
22,1,1,1,1,-1.0,0,0
28,1,0,1,8,-1.0,0,3
42,1,0,1,1,-1.0,1,2
20,1,0,1,0,0.0,0,0
29,0,1,1,0,0.0,0,5
29,1,0,1,8,178.0,1,87
58,0,0,1,21,-1.0,0,59
22,1,0,1,3,-1.0,1,106
48,0,0,1,1,0.0,0,0
37,1,1,1,0,0.0,1,0
57,1,0,1,1,-1.0,0,25
27,0,1,1,3,-22.0,1,-1
26,1,0,1,3,0.0,1,33
24,1,1,1,3,0.0,0,0
33,1,1,1,0,-1.0,1,1
29,1,0,1,2,-1.0,1,0
24,1,0,0,3,-1.0,0,1
19,1,1,1,1,-1.0,0,32
36,0,1,1,2,-1.0,1,0
24,1,1,0,0,0.0,1,0
34,0,1,1,0,0.0,1,0
25,1,0,1,2,-1.0,0,0
20,1,0,1,1,-1.0,0,1
28,0,0,1,2,-263.0,0,1
24,0,0,1,1,-1.0,0,1
61,1,1,1,4,-1.0,1,1
50,1,0,0,3,0.0,1,-1
30,0,0,1,1,0.0,1,4
38,1,0,1,5,-1.0,1,1
24,0,1,1,0,-1.0,1,0
45,1,0,1,16,-83.0,1,64
46,1,0,0,2,-1.0,0,9
41,0,1,1,0,-1.0,0,3
20,1,0,1,0,-1.0,0,22
27,0,0,1,13,-1.0,0,1
51,1,0,0,16,-122.0,1,66
26,0,0,1,1,-1.0,0,13
29,1,0,1,3,0.0,0,1
52,1,1,1,6,-1.0,0,1
28,1,1,1,1,0.0,0,4
34,1,0,0,4,-152.0,0,97
55,1,0,1,5,-1.0,0,118
26,1,0,1,10,-1.0,0,0
28,1,0,1,5,-1.0,1,1
63,1,1,1,2,-3.0,1,3
42,1,0,1,0,0.0,1,1
23,1,0,1,6,-1.0,1,0
54,1,0,1,28,-1.0,0,5
35,1,0,1,8,-1.0,0,10
24,1,0,0,6,-1.0,0,26
54,0,0,1,2,-26.0,1,0
58,0,0,1,12,-1.0,0,3
23,0,1,1,1,0.0,0,0
35,0,0,1,1,-1.0,1,0
20,1,0,1,1,0.0,0,2
51,1,1,1,0,0.0,1,35
24,1,0,1,0,0.0,1,1
37,1,1,1,3,-14.0,1,6
47,1,1,1,3,-1.0,1,0
34,1,1,1,4,-1.0,0,1
56,1,1,1,0,-2.0,1,0
34,1,0,1,4,-1.0,0,31
59,1,1,1,1,-2.0,0,0
35,1,0,1,0,-1.0,1,101
58,1,0,1,1,-11.0,1,10
29,0,0,1,2,-26.0,1,0
24,1,1,0,6,0.0,0,3
21,0,1,1,2,-1.0,0,8
50,1,0,1,5,0.0,0,11
26,1,0,1,1,-1.0,1,1
30,0,1,0,0,-1.0,1,1
29,1,1,1,6,-43.0,0,18
29,0,1,1,0,0.0,0,1
54,0,0,1,0,-1.0,1,1
29,1,0,1,4,-1.0,0,8
59,0,1,0,0,-2.0,1,0
38,1,0,1,0,0.0,1,1
22,1,0,0,2,49.0,0,18
29,1,0,1,4,-53.0,0,25
27,0,1,1,1,-1.0,0,1
26,1,0,1,7,-1.0,0,1
52,1,0,1,20,-1.0,1,27
66,1,0,1,33,0.0,0,13
27,1,1,1,2,0.0,1,0
51,0,1,1,1,-1.0,1,1
35,1,1,1,1,0.0,1,74
52,0,1,1,4,-1.0,1,0
35,0,0,0,12,-54.0,1,-1
48,1,0,1,12,0.0,1,1
26,0,0,0,0,-1.0,1,1
48,0,1,0,0,0.0,1,0
30,0,0,1,7,-1.0,1,37
28,0,0,1,2,-1.0,1,1
33,0,0,1,2,0.0,1,0
34,1,0,0,6,-1.0,1,52
25,0,0,1,0,0.0,1,-1
59,1,0,1,10,-1.0,0,127
29,1,0,1,5,-1.0,0,2
24,1,1,1,0,0.0,1,1
48,1,1,1,1,-1.0,0,129
55,0,0,1,0,61.0,0,45
52,0,0,1,4,0.0,1,1
20,1,0,1,0,0.0,0,0
25,1,1,1,4,-5.0,0,5
24,1,1,1,0,-1.0,1,15
23,0,1,1,0,-1.0,1,1
27,1,1,1,6,-1.0,1,1
25,0,0,1,1,-1.0,0,0
31,1,0,1,0,-1.0,1,0
25,1,0,1,6,-1.0,0,4
32,1,1,1,1,-7.0,0,0
21,1,1,1,0,-1.0,0,-1
37,1,0,1,1,-1.0,1,5
25,1,1,1,0,0.0,1,0
32,1,0,1,20,0.0,1,0
35,1,0,1,0,-1.0,1,2
42,1,0,1,14,-1.0,0,1
24,0,1,1,9,-23.0,0,10
22,1,1,1,6,168.0,0,62
21,1,0,1,0,-1.0,0,0
47,0,1,1,1,0.0,1,0
27,1,0,1,5,-1.0,0,1
43,0,0,1,2,-12.0,0,4
46,1,1,1,2,-1.0,0,0
44,0,0,1,1,0.0,1,0
23,1,1,1,2,-1.0,1,0
42,1,0,1,8,-1.0,1,1
58,1,0,1,6,-1.0,1,144
26,1,0,1,3,-1.0,1,1
48,1,0,0,0,-1.0,1,17
39,1,0,1,3,-1.0,0,3
21,1,0,1,3,0.0,0,-1
63,0,1,1,1,-9.0,1,5
22,1,0,1,3,-11.0,0,7
50,0,0,1,3,-1.0,1,0
38,1,0,1,0,-1.0,1,9
41,1,1,1,1,-6.0,1,6
28,1,0,1,16,-1.0,0,1
30,0,0,0,0,0.0,1,1
23,1,0,1,1,0.0,1,0
25,1,1,1,2,-13.0,0,12
40,1,1,1,5,0.0,1,0
24,1,0,1,8,0.0,1,-1
27,0,0,1,5,0.0,0,64
44,0,1,1,11,0.0,1,180
35,1,0,0,6,-1.0,0,1
42,0,1,1,0,0.0,1,0
38,1,0,1,15,0.0,1,0
26,1,0,1,4,0.0,1,-1
25,0,0,0,0,-1.0,1,0
64,1,0,1,1,-8.0,1,7
49,0,1,0,2,0.0,0,0
50,1,1,1,5,-1.0,0,1
28,1,1,1,8,162.0,0,30
66,0,1,1,0,0.0,0,0
46,0,1,0,0,-1.0,1,1
30,1,0,1,5,-1.0,0,1
22,0,1,0,0,0.0,1,-1
23,0,1,1,1,-1.0,1,9
30,0,0,1,0,-1.0,0,1
24,1,0,1,10,75.0,0,17
31,0,0,1,0,-1.0,1,0
31,1,0,1,1,-1.0,1,0
21,1,0,1,4,622.0,0,117
28,1,0,1,4,747.0,1,52
25,0,0,1,0,-1.0,1,0
21,1,1,0,0,-1.0,1,2
27,0,0,1,0,-1.0,1,1
20,0,0,1,0,-1.0,0,1
32,1,0,1,1,-27.0,1,0
24,1,1,0,0,0.0,1,0
20,1,0,1,1,-1.0,1,0
31,0,0,1,3,-20.0,0,19
27,0,0,1,3,-1.0,0,6
59,1,0,1,17,-65.0,0,58
40,1,0,1,0,-1.0,1,1
22,1,0,1,11,0.0,0,0
38,1,0,0,1,-1.0,1,0
36,0,0,1,1,-8.0,0,39
30,0,0,1,1,0.0,1,0
27,1,1,1,6,-1.0,0,34
59,0,1,0,0,0.0,1,0
37,0,1,1,2,-2.0,1,1
28,0,0,1,5,0.0,0,1
38,1,1,1,0,0.0,1,0
22,1,0,1,0,-1.0,0,0
43,0,0,1,1,-44.0,1,41
25,1,0,1,4,-1.0,0,31
51,0,1,1,0,0.0,1,0
29,0,1,1,2,29.0,0,25
28,1,0,1,10,0.0,1,0
55,0,0,1,9,0.0,0,3
23,1,1,0,3,-1.0,1,5
22,0,0,0,0,-1.0,1,7
19,1,1,0,2,-2.0,0,22
31,0,0,1,1,-27.0,1,-1
29,0,0,1,0,0.0,1,0
61,1,0,1,15,-1.0,0,1
24,1,0,1,4,-175.0,0,0
31,0,0,1,0,0.0,1,0
20,1,0,1,4,-1.0,0,2
26,1,1,1,3,-1.0,0,1
27,0,1,1,5,0.0,1,1
25,1,1,1,1,-1.0,1,1
23,1,1,1,3,-1.0,0,9
38,1,0,1,0,-1.0,1,1
27,1,0,1,18,0.0,0,0
35,1,1,0,0,0.0,0,-1
22,1,0,1,0,-1.0,1,16
58,1,0,0,4,-14.0,0,1
57,0,1,0,0,-1.0,0,1
21,1,0,1,0,-1.0,1,0
22,1,0,0,0,-1.0,1,1
30,1,0,1,0,-1.0,1,2
24,1,1,1,1,-38.0,0,37
22,1,1,1,2,-40.0,0,27
29,1,1,1,3,-61.0,0,38
30,1,0,1,8,-1.0,0,1
31,1,0,0,10,-1.0,1,0
45,1,1,0,1,0.0,1,1
23,1,0,1,4,320.0,1,89
39,1,1,1,2,-13.0,0,4
31,1,0,1,0,-1.0,0,1
22,1,0,1,1,-1.0,0,1
27,1,0,0,9,-68.0,0,65
27,1,0,1,13,-1.0,0,2
38,1,1,1,1,-1.0,0,0
31,1,0,1,23,0.0,0,55
47,1,0,1,20,-1.0,1,1
22,1,0,1,3,-1.0,1,0
35,0,0,1,1,-1.0,0,79
23,0,0,1,2,-19.0,0,19
65,0,0,1,2,-18.0,0,5
35,0,0,1,0,-1.0,1,1
33,1,0,0,0,-1.0,1,1
53,0,1,1,1,-10.0,1,1
52,1,0,1,0,-1.0,1,1
21,1,0,1,0,-1.0,1,0
37,1,0,1,11,-1.0,1,1
30,0,0,1,4,-1.0,0,0
33,1,1,1,5,-32.0,1,21
54,1,0,1,0,0.0,1,-1
31,0,0,0,0,0.0,1,-1
59,1,1,0,2,26.0,1,29
27,0,0,1,0,-1.0,1,1
36,0,0,1,0,-1.0,0,0
46,1,0,1,17,-1.0,0,6
22,1,0,1,3,0.0,1,323
28,0,1,0,0,-1.0,1,0
34,1,1,0,15,-4.0,0,3
29,1,0,1,7,-2.0,0,0
23,0,0,1,2,0.0,0,80
27,1,0,1,3,-1.0,1,0
21,1,0,1,0,-1.0,0,0
48,1,1,1,3,-3.0,0,0
30,1,0,1,15,210.0,0,20
32,1,0,0,2,-43.0,1,-1
31,1,0,1,5,-1.0,1,6
36,0,0,1,4,-1.0,1,2
44,1,0,1,14,-1.0,0,1
53,1,1,1,2,-2.0,1,0
33,0,0,1,3,-1.0,0,1
21,1,0,1,2,-306.0,1,293
33,1,0,1,4,236.0,0,339
47,1,1,1,2,0.0,0,2
57,1,0,1,20,0.0,0,33
28,0,0,1,2,-1.0,1,6
24,0,0,1,1,-1.0,1,1
44,1,0,1,1,-1.0,1,1
46,1,0,1,0,-1.0,1,1
37,1,0,1,6,0.0,1,1
26,0,0,1,10,-6.0,0,5
27,1,0,1,10,0.0,0,0
40,1,1,1,1,-1.0,1,1
60,1,1,0,9,0.0,0,384
53,1,1,1,1,-6.0,1,6
26,1,0,1,8,-52.0,1,40
28,1,0,1,0,-1.0,1,1
23,0,0,1,0,0.0,1,0
46,1,1,0,2,-1.0,1,19
23,1,0,1,0,-1.0,0,1
50,1,0,1,18,-1.0,0,248
45,0,0,1,0,-1.0,1,1
22,1,0,1,1,-1.0,1,0
26,1,1,1,1,0.0,0,16
62,1,1,1,0,-1.0,1,2
34,0,1,1,0,0.0,0,-1
24,1,0,1,1,-6.0,1,6
21,0,1,1,0,-1.0,1,1
25,1,1,1,0,-1.0,0,0
68,0,1,1,0,-1.0,1,3
41,0,1,1,2,-47.0,1,0
21,1,1,1,1,-1.0,1,0
37,1,0,0,1,-1.0,1,1
22,1,0,1,0,0.0,1,0
38,1,1,1,11,-268.0,0,268
42,1,1,1,1,-1.0,1,0
22,1,1,1,1,-1.0,0,1
45,1,0,1,0,-1.0,0,2
36,1,0,0,4,-1.0,0,0
48,1,0,1,2,0.0,1,1
45,1,1,0,1,-106.0,1,8
23,1,0,1,6,-1.0,0,8
24,1,0,1,0,0.0,1,1
29,1,0,1,0,-1.0,1,1
24,1,0,1,0,-3.0,1,0
50,1,0,1,11,0.0,1,2
34,1,0,1,10,0.0,0,2
23,1,0,1,0,0.0,1,0
22,0,1,0,0,-1.0,1,2
36,1,0,1,0,-1.0,1,7
30,1,1,1,22,-1.0,0,3
21,1,0,1,0,-1.0,0,1
53,1,1,0,0,0.0,1,1
24,1,1,1,1,-37.0,1,0
25,0,0,1,7,-1.0,0,0
25,0,0,0,1,0.0,1,0
71,1,0,1,8,-1.0,1,24
39,0,0,1,10,-1.0,1,40
37,1,0,0,0,0.0,1,37
20,1,0,1,0,0.0,0,7
29,1,0,0,3,-1.0,1,0
22,1,0,1,2,-1.0,0,1
26,1,0,1,4,-1.0,0,83
47,1,0,0,19,-1.0,0,30
21,1,0,1,1,-1.0,0,0
23,0,0,0,0,-1.0,1,1
20,1,1,0,1,-1.0,0,17
23,1,0,0,0,-1.0,1,1
27,0,0,1,3,0.0,1,0
55,1,1,1,18,-47.0,0,37
53,1,0,0,0,0.0,1,0
23,1,0,0,0,-1.0,1,0
26,1,0,1,5,-1.0,0,22
25,1,0,1,6,-1.0,1,6
23,0,0,1,2,-1.0,1,1
27,1,0,1,4,0.0,0,0
